"Código","Unidade Territorial","UF","Referência","Quantidade total de famílias inscritas no Cadastro Único"
"280010","AMPARO DE SÃO FRANCISCO","SE","10/2025","724"
"280010","AMPARO DE SÃO FRANCISCO","SE","11/2025","726"
"280010","AMPARO DE SÃO FRANCISCO","SE","12/2025","726"
"280010","AMPARO DE SÃO FRANCISCO","SE","08/2025","709"
"280010","AMPARO DE SÃO FRANCISCO","SE","03/2025","690"
"280010","AMPARO DE SÃO FRANCISCO","SE","06/2025","703"
"280010","AMPARO DE SÃO FRANCISCO","SE","01/2025","679"
"280010","AMPARO DE SÃO FRANCISCO","SE","02/2025","680"
"280010","AMPARO DE SÃO FRANCISCO","SE","05/2025","699"
"280010","AMPARO DE SÃO FRANCISCO","SE","07/2025","707"
"280010","AMPARO DE SÃO FRANCISCO","SE","09/2025","716"
"280020","AQUIDABÃ","SE","03/2025","5855"
"280020","AQUIDABÃ","SE","10/2025","6073"
"280020","AQUIDABÃ","SE","09/2025","6026"
"280020","AQUIDABÃ","SE","05/2025","5961"
"280020","AQUIDABÃ","SE","06/2025","5995"
"280020","AQUIDABÃ","SE","11/2025","6114"
"280020","AQUIDABÃ","SE","12/2025","6124"
"280020","AQUIDABÃ","SE","08/2025","5964"
"280020","AQUIDABÃ","SE","02/2025","5829"
"280020","AQUIDABÃ","SE","07/2025","5993"
"280020","AQUIDABÃ","SE","01/2025","5799"
"280030","ARACAJU","SE","10/2025","119156"
"280030","ARACAJU","SE","12/2025","119716"
"280030","ARACAJU","SE","11/2025","119568"
"280030","ARACAJU","SE","09/2025","118593"
"280030","ARACAJU","SE","05/2025","118917"
"280030","ARACAJU","SE","03/2025","117539"
"280030","ARACAJU","SE","06/2025","119684"
"280030","ARACAJU","SE","08/2025","117648"
"280030","ARACAJU","SE","07/2025","118797"
"280030","ARACAJU","SE","01/2025","116163"
"280030","ARACAJU","SE","02/2025","116845"
"280040","ARAUÁ","SE","01/2025","3774"
"280040","ARAUÁ","SE","07/2025","3883"
"280040","ARAUÁ","SE","08/2025","3862"
"280040","ARAUÁ","SE","06/2025","3867"
"280040","ARAUÁ","SE","10/2025","3897"
"280040","ARAUÁ","SE","02/2025","3786"
"280040","ARAUÁ","SE","05/2025","3844"
"280040","ARAUÁ","SE","11/2025","3924"
"280040","ARAUÁ","SE","03/2025","3801"
"280040","ARAUÁ","SE","12/2025","3930"
"280040","ARAUÁ","SE","09/2025","3876"
"280050","AREIA BRANCA","SE","03/2025","5090"
"280050","AREIA BRANCA","SE","08/2025","5132"
"280050","AREIA BRANCA","SE","11/2025","5229"
"280050","AREIA BRANCA","SE","07/2025","5222"
"280050","AREIA BRANCA","SE","02/2025","5067"
"280050","AREIA BRANCA","SE","06/2025","5231"
"280050","AREIA BRANCA","SE","05/2025","5174"
"280050","AREIA BRANCA","SE","09/2025","5181"
"280050","AREIA BRANCA","SE","01/2025","5067"
"280050","AREIA BRANCA","SE","12/2025","5227"
"280050","AREIA BRANCA","SE","10/2025","5207"
