"Código","Unidade Territorial","UF","Referência","Número de famílias cadastradas no Cadastro Único em situação de pobreza, segundo a faixa do Programa Bolsa Família*","Número de famílias cadastradas no Cadastro Único com renda per capita de até meio salário-mínimo (Pobreza + Baixa renda)","Número de famílias cadastradas no Cadastro Único com renda per capita acima de meio salário-mínimo***"
"280010","AMPARO DE SÃO FRANCISCO","SE","10/2025","291","455","269"
"280010","AMPARO DE SÃO FRANCISCO","SE","11/2025","288","453","273"
"280010","AMPARO DE SÃO FRANCISCO","SE","12/2025","282","445","281"
"280010","AMPARO DE SÃO FRANCISCO","SE","08/2025","308","463","246"
"280010","AMPARO DE SÃO FRANCISCO","SE","03/2025","338","473","217"
"280010","AMPARO DE SÃO FRANCISCO","SE","06/2025","326","464","239"
"280010","AMPARO DE SÃO FRANCISCO","SE","01/2025","280","444","235"
"280010","AMPARO DE SÃO FRANCISCO","SE","02/2025","313","452","228"
"280010","AMPARO DE SÃO FRANCISCO","SE","05/2025","330","465","234"
"280010","AMPARO DE SÃO FRANCISCO","SE","07/2025","312","461","246"
"280010","AMPARO DE SÃO FRANCISCO","SE","09/2025","299","461","255"
"280020","AQUIDABÃ","SE","03/2025","3481","4396","1459"
"280020","AQUIDABÃ","SE","10/2025","3427","4379","1694"
"280020","AQUIDABÃ","SE","09/2025","3413","4361","1665"
"280020","AQUIDABÃ","SE","05/2025","3498","4357","1604"
"280020","AQUIDABÃ","SE","06/2025","3468","4350","1645"
"280020","AQUIDABÃ","SE","11/2025","3446","4400","1714"
"280020","AQUIDABÃ","SE","12/2025","3474","4414","1710"
"280020","AQUIDABÃ","SE","08/2025","3401","4340","1624"
"280020","AQUIDABÃ","SE","02/2025","3416","4359","1470"
"280020","AQUIDABÃ","SE","07/2025","3436","4333","1660"
"280020","AQUIDABÃ","SE","01/2025","3320","4365","1434"
"280030","ARACAJU","SE","10/2025","56571","81810","37346"
"280030","ARACAJU","SE","12/2025","56373","81546","38170"
"280030","ARACAJU","SE","11/2025","56396","81625","37943"
"280030","ARACAJU","SE","09/2025","56707","81987","36606"
"280030","ARACAJU","SE","05/2025","58286","83986","34931"
"280030","ARACAJU","SE","03/2025","59372","85147","32392"
"280030","ARACAJU","SE","06/2025","57818","83626","36058"
"280030","ARACAJU","SE","08/2025","56583","81870","35778"
"280030","ARACAJU","SE","07/2025","56823","82245","36552"
"280030","ARACAJU","SE","01/2025","59323","84878","31285"
"280030","ARACAJU","SE","02/2025","58754","84425","32420"
"280040","ARAUÁ","SE","01/2025","2190","2842","932"
"280040","ARAUÁ","SE","07/2025","2192","2810","1073"
"280040","ARAUÁ","SE","08/2025","2189","2807","1055"
"280040","ARAUÁ","SE","06/2025","2188","2808","1059"
"280040","ARAUÁ","SE","10/2025","2185","2808","1089"
"280040","ARAUÁ","SE","02/2025","2185","2831","955"
"280040","ARAUÁ","SE","05/2025","2193","2818","1026"
"280040","ARAUÁ","SE","11/2025","2181","2808","1116"
"280040","ARAUÁ","SE","03/2025","2212","2851","950"
"280040","ARAUÁ","SE","12/2025","2188","2808","1122"
"280040","ARAUÁ","SE","09/2025","2182","2808","1068"
"280050","AREIA BRANCA","SE","03/2025","2508","3635","1455"
"280050","AREIA BRANCA","SE","08/2025","2479","3590","1542"
"280050","AREIA BRANCA","SE","11/2025","2489","3590","1639"
"280050","AREIA BRANCA","SE","07/2025","2484","3603","1619"
"280050","AREIA BRANCA","SE","02/2025","2440","3592","1475"
"280050","AREIA BRANCA","SE","06/2025","2513","3624","1607"
"280050","AREIA BRANCA","SE","05/2025","2509","3615","1559"
"280050","AREIA BRANCA","SE","09/2025","2489","3601","1580"
"280050","AREIA BRANCA","SE","01/2025","2466","3637","1430"
"280050","AREIA BRANCA","SE","12/2025","2488","3596","1631"
"280050","AREIA BRANCA","SE","10/2025","2469","3594","1613"
"280060","BARRA DOS COQUEIROS","SE","05/2025","4985","6901","3115"
"280060","BARRA DOS COQUEIROS","SE","02/2025","4746","6729","2997"
"280060","BARRA DOS COQUEIROS","SE","11/2025","4908","6969","3375"
"280060","BARRA DOS COQUEIROS","SE","07/2025","4875","6877","3307"
"280060","BARRA DOS COQUEIROS","SE","01/2025","4836","6830","2903"
"280060","BARRA DOS COQUEIROS","SE","06/2025","4935","6889","3229"
"280060","BARRA DOS COQUEIROS","SE","12/2025","4918","6999","3392"
"280060","BARRA DOS COQUEIROS","SE","10/2025","4924","6984","3300"
"280060","BARRA DOS COQUEIROS","SE","08/2025","4909","6895","3203"
"280060","BARRA DOS COQUEIROS","SE","03/2025","4857","6822","2968"
"280060","BARRA DOS COQUEIROS","SE","09/2025","4905","6947","3250"
"280067","BOQUIM","SE","05/2025","4918","6158","2205"
"280067","BOQUIM","SE","06/2025","4881","6151","2270"
"280067","BOQUIM","SE","08/2025","4803","6103","2267"
"280067","BOQUIM","SE","11/2025","4785","6109","2466"
"280067","BOQUIM","SE","12/2025","4805","6111","2517"
"280067","BOQUIM","SE","03/2025","4983","6223","2031"
"280067","BOQUIM","SE","02/2025","4907","6159","2035"
"280067","BOQUIM","SE","10/2025","4803","6129","2393"
"280067","BOQUIM","SE","01/2025","4788","6105","2014"
"280067","BOQUIM","SE","07/2025","4815","6100","2313"
"280067","BOQUIM","SE","09/2025","4809","6126","2334"
"280070","BREJO GRANDE","SE","11/2025","1370","1784","474"
"280070","BREJO GRANDE","SE","09/2025","1385","1793","467"
"280070","BREJO GRANDE","SE","10/2025","1377","1785","473"
"280070","BREJO GRANDE","SE","08/2025","1384","1789","464"
"280070","BREJO GRANDE","SE","06/2025","1395","1819","449"
"280070","BREJO GRANDE","SE","07/2025","1386","1800","461"
"280070","BREJO GRANDE","SE","02/2025","1392","1833","387"
"280070","BREJO GRANDE","SE","12/2025","1371","1792","475"
"280070","BREJO GRANDE","SE","03/2025","1405","1842","390"
"280070","BREJO GRANDE","SE","05/2025","1399","1822","437"
"280070","BREJO GRANDE","SE","01/2025","1409","1842","376"
"280100","CAMPO DO BRITO","SE","10/2025","2891","3889","1581"
"280100","CAMPO DO BRITO","SE","05/2025","2946","3951","1421"
"280100","CAMPO DO BRITO","SE","08/2025","2899","3908","1471"
"280100","CAMPO DO BRITO","SE","01/2025","2910","3935","1299"
"280100","CAMPO DO BRITO","SE","06/2025","2924","3929","1471"
"280100","CAMPO DO BRITO","SE","09/2025","2895","3906","1522"
"280100","CAMPO DO BRITO","SE","07/2025","2904","3911","1488"
"280100","CAMPO DO BRITO","SE","02/2025","2909","3933","1327"
"280100","CAMPO DO BRITO","SE","11/2025","2895","3895","1604"
"280100","CAMPO DO BRITO","SE","03/2025","2941","3963","1330"
"280100","CAMPO DO BRITO","SE","12/2025","2892","3899","1608"
"280110","CANHOBA","SE","01/2025","1245","1494","425"
"280110","CANHOBA","SE","10/2025","1176","1396","538"
"280110","CANHOBA","SE","05/2025","1238","1448","498"
"280110","CANHOBA","SE","03/2025","1233","1481","447"
"280110","CANHOBA","SE","12/2025","1169","1401","545"
"280110","CANHOBA","SE","11/2025","1167","1396","546"
"280110","CANHOBA","SE","06/2025","1227","1438","515"
"280110","CANHOBA","SE","08/2025","1183","1398","517"
"280110","CANHOBA","SE","09/2025","1177","1394","532"
"280110","CANHOBA","SE","07/2025","1180","1399","538"
"280110","CANHOBA","SE","02/2025","1228","1478","449"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","09/2025","5797","7461","2206"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","06/2025","5898","7484","2174"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","03/2025","5977","7520","1960"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","02/2025","5920","7471","1973"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","01/2025","5901","7479","1955"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","10/2025","5820","7467","2251"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","11/2025","5824","7467","2314"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","07/2025","5825","7444","2197"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","12/2025","5826","7475","2335"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","05/2025","6005","7506","2090"
"280120","CANINDÉ DE SÃO FRANCISCO","SE","08/2025","5806","7442","2168"
"280130","CAPELA","SE","01/2025","5337","6953","1965"
"280130","CAPELA","SE","11/2025","5395","6973","2276"
"280130","CAPELA","SE","08/2025","5240","6819","2203"
"280130","CAPELA","SE","12/2025","5423","6987","2295"
"280130","CAPELA","SE","02/2025","5266","6878","2022"
"280130","CAPELA","SE","03/2025","5291","6887","2021"
"280130","CAPELA","SE","06/2025","5250","6849","2201"
"280130","CAPELA","SE","09/2025","5312","6879","2217"
"280130","CAPELA","SE","07/2025","5200","6803","2230"
"280130","CAPELA","SE","05/2025","5262","6856","2159"
"280130","CAPELA","SE","10/2025","5332","6898","2230"
"280140","CARIRA","SE","10/2025","4671","5559","1528"
"280140","CARIRA","SE","11/2025","4667","5564","1546"
"280140","CARIRA","SE","09/2025","4679","5565","1483"
"280140","CARIRA","SE","12/2025","4667","5566","1556"
"280140","CARIRA","SE","01/2025","4642","5533","1281"
"280140","CARIRA","SE","03/2025","4681","5582","1310"
"280140","CARIRA","SE","08/2025","4654","5552","1453"
"280140","CARIRA","SE","02/2025","4648","5542","1317"
"280140","CARIRA","SE","06/2025","4679","5592","1464"
"280140","CARIRA","SE","07/2025","4662","5576","1498"
"280140","CARIRA","SE","05/2025","4689","5597","1422"
"280150","CARMÓPOLIS","SE","03/2025","2200","2907","1151"
"280150","CARMÓPOLIS","SE","11/2025","2209","2935","1273"
"280150","CARMÓPOLIS","SE","08/2025","2127","2869","1225"
"280150","CARMÓPOLIS","SE","06/2025","2146","2876","1241"
"280150","CARMÓPOLIS","SE","10/2025","2194","2919","1258"
"280150","CARMÓPOLIS","SE","12/2025","2214","2944","1267"
"280150","CARMÓPOLIS","SE","02/2025","2165","2885","1171"
"280150","CARMÓPOLIS","SE","05/2025","2201","2880","1203"
"280150","CARMÓPOLIS","SE","07/2025","2114","2860","1259"
"280150","CARMÓPOLIS","SE","01/2025","2192","2947","1157"
"280150","CARMÓPOLIS","SE","09/2025","2177","2914","1248"
"280160","CEDRO DE SÃO JOÃO","SE","05/2025","869","1155","420"
"280160","CEDRO DE SÃO JOÃO","SE","11/2025","851","1120","484"
"280160","CEDRO DE SÃO JOÃO","SE","02/2025","884","1184","385"
"280160","CEDRO DE SÃO JOÃO","SE","08/2025","852","1134","444"
"280160","CEDRO DE SÃO JOÃO","SE","09/2025","855","1128","460"
"280160","CEDRO DE SÃO JOÃO","SE","10/2025","847","1121","475"
"280160","CEDRO DE SÃO JOÃO","SE","03/2025","891","1192","382"
"280160","CEDRO DE SÃO JOÃO","SE","07/2025","849","1128","443"
"280160","CEDRO DE SÃO JOÃO","SE","06/2025","856","1144","432"
"280160","CEDRO DE SÃO JOÃO","SE","12/2025","863","1131","493"
"280160","CEDRO DE SÃO JOÃO","SE","01/2025","880","1184","387"
"280170","CRISTINÁPOLIS","SE","12/2025","3713","4705","1560"
"280170","CRISTINÁPOLIS","SE","06/2025","3601","4582","1513"
"280170","CRISTINÁPOLIS","SE","05/2025","3606","4586","1468"
"280170","CRISTINÁPOLIS","SE","03/2025","3628","4652","1324"
"280170","CRISTINÁPOLIS","SE","09/2025","3642","4616","1497"
"280170","CRISTINÁPOLIS","SE","02/2025","3572","4605","1328"
"280170","CRISTINÁPOLIS","SE","07/2025","3565","4552","1513"
"280170","CRISTINÁPOLIS","SE","08/2025","3593","4572","1469"
"280170","CRISTINÁPOLIS","SE","01/2025","3567","4616","1298"
"280170","CRISTINÁPOLIS","SE","11/2025","3664","4654","1557"
"280170","CRISTINÁPOLIS","SE","10/2025","3648","4623","1526"
"280190","CUMBE","SE","12/2025","794","1010","378"
"280190","CUMBE","SE","01/2025","894","1107","274"
"280190","CUMBE","SE","10/2025","811","1027","353"
"280190","CUMBE","SE","06/2025","877","1079","328"
"280190","CUMBE","SE","09/2025","832","1039","342"
"280190","CUMBE","SE","02/2025","912","1106","280"
"280190","CUMBE","SE","07/2025","857","1059","341"
"280190","CUMBE","SE","03/2025","922","1119","278"
"280190","CUMBE","SE","08/2025","840","1037","335"
"280190","CUMBE","SE","05/2025","893","1094","314"
"280190","CUMBE","SE","11/2025","806","1022","372"
"280200","DIVINA PASTORA","SE","09/2025","703","1010","382"
"280200","DIVINA PASTORA","SE","11/2025","683","1001","409"
"280200","DIVINA PASTORA","SE","05/2025","752","997","362"
"280200","DIVINA PASTORA","SE","08/2025","717","1009","373"
"280200","DIVINA PASTORA","SE","12/2025","668","987","425"
"280200","DIVINA PASTORA","SE","03/2025","742","988","337"
"280200","DIVINA PASTORA","SE","06/2025","735","1002","371"
"280200","DIVINA PASTORA","SE","02/2025","722","969","343"
"280200","DIVINA PASTORA","SE","10/2025","706","1011","396"
"280200","DIVINA PASTORA","SE","07/2025","721","996","384"
"280200","DIVINA PASTORA","SE","01/2025","646","939","351"
"280210","ESTÂNCIA","SE","05/2025","11382","15164","5988"
"280210","ESTÂNCIA","SE","06/2025","11268","15082","6159"
"280210","ESTÂNCIA","SE","08/2025","11115","14874","6194"
"280210","ESTÂNCIA","SE","11/2025","11060","14850","6480"
"280210","ESTÂNCIA","SE","01/2025","11405","15261","5447"
"280210","ESTÂNCIA","SE","10/2025","11111","14890","6386"
"280210","ESTÂNCIA","SE","07/2025","11171","14981","6273"
"280210","ESTÂNCIA","SE","09/2025","11124","14904","6298"
"280210","ESTÂNCIA","SE","03/2025","11507","15320","5579"
"280210","ESTÂNCIA","SE","02/2025","11336","15184","5599"
"280210","ESTÂNCIA","SE","12/2025","11041","14823","6521"
"280220","FEIRA NOVA","SE","01/2025","1298","1591","421"
"280220","FEIRA NOVA","SE","12/2025","1263","1555","562"
"280220","FEIRA NOVA","SE","03/2025","1309","1597","440"
"280220","FEIRA NOVA","SE","07/2025","1287","1557","513"
"280220","FEIRA NOVA","SE","02/2025","1303","1592","433"
"280220","FEIRA NOVA","SE","08/2025","1296","1566","518"
"280220","FEIRA NOVA","SE","05/2025","1297","1569","489"
"280220","FEIRA NOVA","SE","11/2025","1270","1554","557"
"280220","FEIRA NOVA","SE","10/2025","1281","1564","544"
"280220","FEIRA NOVA","SE","09/2025","1287","1567","541"
"280220","FEIRA NOVA","SE","06/2025","1287","1563","505"
"280230","FREI PAULO","SE","05/2025","2729","3603","1358"
"280230","FREI PAULO","SE","03/2025","2730","3642","1274"
"280230","FREI PAULO","SE","09/2025","2638","3531","1410"
"280230","FREI PAULO","SE","02/2025","2720","3627","1270"
"280230","FREI PAULO","SE","10/2025","2619","3523","1436"
"280230","FREI PAULO","SE","07/2025","2680","3557","1420"
"280230","FREI PAULO","SE","08/2025","2654","3538","1394"
"280230","FREI PAULO","SE","11/2025","2597","3523","1452"
"280230","FREI PAULO","SE","06/2025","2710","3590","1395"
"280230","FREI PAULO","SE","12/2025","2576","3494","1464"
"280230","FREI PAULO","SE","01/2025","2738","3645","1237"
"280240","GARARU","SE","01/2025","2560","3089","678"
"280240","GARARU","SE","12/2025","2534","3086","910"
"280240","GARARU","SE","08/2025","2531","3054","798"
"280240","GARARU","SE","03/2025","2563","3079","696"
"280240","GARARU","SE","05/2025","2559","3059","775"
"280240","GARARU","SE","11/2025","2511","3045","878"
"280240","GARARU","SE","06/2025","2532","3045","803"
"280240","GARARU","SE","09/2025","2528","3051","823"
"280240","GARARU","SE","10/2025","2517","3034","859"
"280240","GARARU","SE","02/2025","2554","3075","696"
"280240","GARARU","SE","07/2025","2519","3043","817"
"280250","GENERAL MAYNARD","SE","11/2025","761","905","516"
"280250","GENERAL MAYNARD","SE","05/2025","786","910","469"
"280250","GENERAL MAYNARD","SE","01/2025","715","868","416"
"280250","GENERAL MAYNARD","SE","07/2025","762","900","494"
"280250","GENERAL MAYNARD","SE","08/2025","761","900","491"
"280250","GENERAL MAYNARD","SE","10/2025","765","908","511"
"280250","GENERAL MAYNARD","SE","06/2025","768","900","485"
"280250","GENERAL MAYNARD","SE","12/2025","768","912","517"
"280250","GENERAL MAYNARD","SE","09/2025","765","906","497"
"280250","GENERAL MAYNARD","SE","03/2025","784","918","437"
"280250","GENERAL MAYNARD","SE","02/2025","751","894","419"
"280260","GRACHO CARDOSO","SE","02/2025","1983","2250","560"
"280260","GRACHO CARDOSO","SE","09/2025","2059","2289","661"
"280260","GRACHO CARDOSO","SE","05/2025","2056","2291","612"
"280260","GRACHO CARDOSO","SE","11/2025","2036","2278","682"
"280260","GRACHO CARDOSO","SE","08/2025","2063","2291","651"
