"Código","Unidade Territorial","UF","Referência","Pessoas beneficiárias no PBF (até Out/2021)","Pessoas beneficiárias no PBF (a partir de Mar/2023)"
"280010","AMPARO DE SÃO FRANCISCO","SE","05/2025","","952"
"280010","AMPARO DE SÃO FRANCISCO","SE","06/2025","","958"
"280010","AMPARO DE SÃO FRANCISCO","SE","03/2025","","968"
"280010","AMPARO DE SÃO FRANCISCO","SE","12/2025","","933"
"280010","AMPARO DE SÃO FRANCISCO","SE","04/2025","","968"
"280010","AMPARO DE SÃO FRANCISCO","SE","10/2025","","977"
"280010","AMPARO DE SÃO FRANCISCO","SE","11/2025","","930"
"280010","AMPARO DE SÃO FRANCISCO","SE","07/2025","","994"
"280010","AMPARO DE SÃO FRANCISCO","SE","09/2025","","1000"
"280010","AMPARO DE SÃO FRANCISCO","SE","08/2025","","989"
"280010","AMPARO DE SÃO FRANCISCO","SE","02/2025","","920"
"280010","AMPARO DE SÃO FRANCISCO","SE","01/2025","","925"
"280020","AQUIDABÃ","SE","02/2025","","8873"
"280020","AQUIDABÃ","SE","08/2025","","8586"
"280020","AQUIDABÃ","SE","10/2025","","8587"
"280020","AQUIDABÃ","SE","01/2025","","8839"
"280020","AQUIDABÃ","SE","06/2025","","8923"
"280020","AQUIDABÃ","SE","07/2025","","8573"
"280020","AQUIDABÃ","SE","03/2025","","8936"
"280020","AQUIDABÃ","SE","05/2025","","8947"
"280020","AQUIDABÃ","SE","12/2025","","8465"
"280020","AQUIDABÃ","SE","04/2025","","8945"
"280020","AQUIDABÃ","SE","11/2025","","8478"
"280020","AQUIDABÃ","SE","09/2025","","8574"
"280030","ARACAJU","SE","02/2025","","141658"
"280030","ARACAJU","SE","05/2025","","141725"
"280030","ARACAJU","SE","04/2025","","141857"
"280030","ARACAJU","SE","06/2025","","141947"
"280030","ARACAJU","SE","07/2025","","135232"
"280030","ARACAJU","SE","01/2025","","141074"
"280030","ARACAJU","SE","10/2025","","129658"
"280030","ARACAJU","SE","12/2025","","131104"
"280030","ARACAJU","SE","11/2025","","127833"
"280030","ARACAJU","SE","08/2025","","130761"
"280030","ARACAJU","SE","09/2025","","130009"
"280030","ARACAJU","SE","03/2025","","141948"
"280040","ARAUÁ","SE","07/2025","","5696"
"280040","ARAUÁ","SE","08/2025","","5614"
"280040","ARAUÁ","SE","02/2025","","5929"
"280040","ARAUÁ","SE","11/2025","","5391"
"280040","ARAUÁ","SE","03/2025","","5928"
"280040","ARAUÁ","SE","12/2025","","5480"
"280040","ARAUÁ","SE","01/2025","","5927"
