"Código","Unidade Territorial","UF","Referência","Quantidade de pessoas do sexo masculino inscritas no Cadastro Único","Quantidade de pessoas do sexo feminino inscritas no Cadastro Único"
"280010","AMPARO DE SÃO FRANCISCO","SE","10/2025","936","923"
"280010","AMPARO DE SÃO FRANCISCO","SE","11/2025","939","924"
"280010","AMPARO DE SÃO FRANCISCO","SE","12/2025","937","925"
"280010","AMPARO DE SÃO FRANCISCO","SE","08/2025","928","921"
"280010","AMPARO DE SÃO FRANCISCO","SE","03/2025","907","887"
"280010","AMPARO DE SÃO FRANCISCO","SE","06/2025","915","906"
"280010","AMPARO DE SÃO FRANCISCO","SE","01/2025","901","873"
"280010","AMPARO DE SÃO FRANCISCO","SE","02/2025","901","874"
"280010","AMPARO DE SÃO FRANCISCO","SE","05/2025","913","897"
"280010","AMPARO DE SÃO FRANCISCO","SE","07/2025","922","914"
"280010","AMPARO DE SÃO FRANCISCO","SE","09/2025","931","923"
"280020","AQUIDABÃ","SE","03/2025","5948","7195"
"280020","AQUIDABÃ","SE","10/2025","6025","7308"
"280020","AQUIDABÃ","SE","09/2025","6007","7280"
"280020","AQUIDABÃ","SE","05/2025","5999","7267"
"280020","AQUIDABÃ","SE","06/2025","6014","7290"
"280020","AQUIDABÃ","SE","11/2025","6039","7331"
"280020","AQUIDABÃ","SE","12/2025","6026","7340"
"280020","AQUIDABÃ","SE","08/2025","5959","7244"
"280020","AQUIDABÃ","SE","02/2025","5938","7171"
"280020","AQUIDABÃ","SE","07/2025","6006","7279"
"280020","AQUIDABÃ","SE","01/2025","5917","7162"
"280030","ARACAJU","SE","10/2025","98334","148441"
"280030","ARACAJU","SE","12/2025","98751","148831"
"280030","ARACAJU","SE","11/2025","98674","148887"
"280030","ARACAJU","SE","09/2025","97890","147827"
"280030","ARACAJU","SE","05/2025","97988","147341"
"280030","ARACAJU","SE","03/2025","96561","145397"
"280030","ARACAJU","SE","06/2025","98623","148258"
"280030","ARACAJU","SE","08/2025","97174","146836"
"280030","ARACAJU","SE","07/2025","98216","147739"
"280030","ARACAJU","SE","01/2025","95696","144085"
"280030","ARACAJU","SE","02/2025","96017","144653"
"280040","ARAUÁ","SE","01/2025","3927","4599"
"280040","ARAUÁ","SE","07/2025","3934","4658"
"280040","ARAUÁ","SE","08/2025","3909","4623"
"280040","ARAUÁ","SE","06/2025","3941","4651"
"280040","ARAUÁ","SE","10/2025","3917","4629"
"280040","ARAUÁ","SE","02/2025","3933","4604"
"280040","ARAUÁ","SE","05/2025","3939","4632"
"280040","ARAUÁ","SE","11/2025","3933","4645"
"280040","ARAUÁ","SE","03/2025","3938","4609"
"280040","ARAUÁ","SE","12/2025","3931","4635"
"280040","ARAUÁ","SE","09/2025","3908","4616"
"280050","AREIA BRANCA","SE","03/2025","5614","7311"
"280050","AREIA BRANCA","SE","08/2025","5642","7273"
"280050","AREIA BRANCA","SE","11/2025","5669","7334"
"280050","AREIA BRANCA","SE","07/2025","5734","7401"
"280050","AREIA BRANCA","SE","02/2025","5606","7302"
"280050","AREIA BRANCA","SE","06/2025","5743","7399"
"280050","AREIA BRANCA","SE","05/2025","5699","7332"
"280050","AREIA BRANCA","SE","09/2025","5670","7312"
"280050","AREIA BRANCA","SE","01/2025","5617","7307"
"280050","AREIA BRANCA","SE","12/2025","5650","7309"
"280050","AREIA BRANCA","SE","10/2025","5675","7327"
"280060","BARRA DOS COQUEIROS","SE","05/2025","8877","12848"
"280060","BARRA DOS COQUEIROS","SE","02/2025","8698","12551"
