"Código","Unidade Territorial","UF","Referência","Famílias PBF (até Out/2021)","Famílias PBF (a partir de Mar/2023)","Valor repassado às famílias PBF (até Out/2021)","Valor repassado às famílias PBF (a partir de Mar/2023)","Valor do Benefício médio (até Out/2021)","Valor do Benefício médio (a partir de Mar/2023)"
"280010","AMPARO DE SÃO FRANCISCO","SE","02/2025","","331","","215761,0","","651,85"
"280010","AMPARO DE SÃO FRANCISCO","SE","11/2025","","337","","221774,0","","658,08"
"280010","AMPARO DE SÃO FRANCISCO","SE","09/2025","","358","","242320","","676,87"
"280010","AMPARO DE SÃO FRANCISCO","SE","08/2025","","356","","236311","","663,79"
"280010","AMPARO DE SÃO FRANCISCO","SE","06/2025","","350","","236908","","676,88"
"280010","AMPARO DE SÃO FRANCISCO","SE","04/2025","","355","","240657,0","","677,91"
"280010","AMPARO DE SÃO FRANCISCO","SE","12/2025","","335","","221104","","660,01"
"280010","AMPARO DE SÃO FRANCISCO","SE","05/2025","","349","","236607,0","","677,96"
"280010","AMPARO DE SÃO FRANCISCO","SE","07/2025","","362","","242861,0","","670,89"
"280010","AMPARO DE SÃO FRANCISCO","SE","10/2025","","348","","231887","","666,34"
"280010","AMPARO DE SÃO FRANCISCO","SE","01/2025","","332","","216836","","653,12"
"280010","AMPARO DE SÃO FRANCISCO","SE","03/2025","","353","","235528","","667,22"
"280020","AQUIDABÃ","SE","07/2025","","3523","","2347095,0","","666,41"
"280020","AQUIDABÃ","SE","03/2025","","3648","","2424019","","665,21"
"280020","AQUIDABÃ","SE","06/2025","","3647","","2414197","","661,97"
"280020","AQUIDABÃ","SE","04/2025","","3656","","2438572,0","","667,74"
"280020","AQUIDABÃ","SE","05/2025","","3656","","2422837,0","","662,70"
"280020","AQUIDABÃ","SE","12/2025","","3493","","2323621","","669,82"
"280020","AQUIDABÃ","SE","08/2025","","3537","","2351688","","665,07"
"280020","AQUIDABÃ","SE","10/2025","","3529","","2351438","","666,70"
"280020","AQUIDABÃ","SE","02/2025","","3616","","2367360,0","","654,69"
"280020","AQUIDABÃ","SE","11/2025","","3500","","2327326,0","","665,14"
"280020","AQUIDABÃ","SE","09/2025","","3531","","2345521","","664,64"
"280020","AQUIDABÃ","SE","01/2025","","3600","","2373367","","659,27"
"280030","ARACAJU","SE","09/2025","","55298","","37207905","","674,02"
"280030","ARACAJU","SE","11/2025","","54314","","36191467,0","","667,86"
"280030","ARACAJU","SE","08/2025","","55672","","36457726","","655,62"
"280030","ARACAJU","SE","02/2025","","60177","","39639836,0","","658,72"
"280030","ARACAJU","SE","10/2025","","55001","","36934752","","672,43"
"280030","ARACAJU","SE","04/2025","","60211","","39298341,0","","653,39"
"280030","ARACAJU","SE","01/2025","","59854","","39738503","","663,92"
"280030","ARACAJU","SE","07/2025","","57641","","37672117,0","","654,56"
"280030","ARACAJU","SE","05/2025","","60170","","39228425,0","","652,53"
"280030","ARACAJU","SE","12/2025","","55108","","36819509","","671,23"
"280030","ARACAJU","SE","06/2025","","60283","","39247631","","651,46"
"280030","ARACAJU","SE","03/2025","","60239","","39359126","","654,20"
"280040","ARAUÁ","SE","10/2025","","2230","","1466834","","659,84"
"280040","ARAUÁ","SE","04/2025","","2371","","1559837,0","","658,71"
"280040","ARAUÁ","SE","08/2025","","2277","","1499705","","660,08"
"280040","ARAUÁ","SE","05/2025","","2367","","1555659,0","","657,23"
"280040","ARAUÁ","SE","02/2025","","2375","","1559371,0","","656,58"
"280040","ARAUÁ","SE","03/2025","","2376","","1555496","","656,33"
"280040","ARAUÁ","SE","11/2025","","2202","","1460731,0","","664,88"
"280040","ARAUÁ","SE","09/2025","","2252","","1489587","","663,51"
"280040","ARAUÁ","SE","12/2025","","2230","","1483758","","668,96"
"280040","ARAUÁ","SE","07/2025","","2305","","1517285,0","","659,69"
"280040","ARAUÁ","SE","06/2025","","2371","","1555246","","655,95"
"280040","ARAUÁ","SE","01/2025","","2372","","1559682","","657,54"
"280050","AREIA BRANCA","SE","08/2025","","2742","","1849018","","674,82"
"280050","AREIA BRANCA","SE","03/2025","","2830","","1889009","","668,44"
"280050","AREIA BRANCA","SE","02/2025","","2846","","1892601,0","","665,00"
"280050","AREIA BRANCA","SE","04/2025","","2823","","1880341,0","","667,02"
"280050","AREIA BRANCA","SE","06/2025","","2835","","1906700","","673,03"
"280050","AREIA BRANCA","SE","05/2025","","2822","","1876061,0","","665,27"
"280050","AREIA BRANCA","SE","11/2025","","2710","","1828623,0","","675,52"
"280050","AREIA BRANCA","SE","12/2025","","2734","","1842131","","676,26"
"280050","AREIA BRANCA","SE","07/2025","","2776","","1868583,0","","673,85"
"280050","AREIA BRANCA","SE","09/2025","","2758","","1890318","","685,64"
"280050","AREIA BRANCA","SE","01/2025","","2808","","1880166","","669,57"
"280050","AREIA BRANCA","SE","10/2025","","2758","","1880148","","681,95"
"280060","BARRA DOS COQUEIROS","SE","07/2025","","4954","","3313987,0","","669,09"
"280060","BARRA DOS COQUEIROS","SE","09/2025","","5008","","3433630","","685,77"
"280060","BARRA DOS COQUEIROS","SE","08/2025","","4867","","3242386","","666,20"
"280060","BARRA DOS COQUEIROS","SE","04/2025","","5155","","3403263,0","","660,44"
"280060","BARRA DOS COQUEIROS","SE","03/2025","","5144","","3377120","","656,77"
"280060","BARRA DOS COQUEIROS","SE","06/2025","","5143","","3381872","","657,70"
"280060","BARRA DOS COQUEIROS","SE","12/2025","","5033","","3386662","","675,17"
"280060","BARRA DOS COQUEIROS","SE","01/2025","","5178","","3430627","","662,54"
"280060","BARRA DOS COQUEIROS","SE","10/2025","","5012","","3368040","","672,13"
"280060","BARRA DOS COQUEIROS","SE","02/2025","","5180","","3426128,0","","661,41"
"280060","BARRA DOS COQUEIROS","SE","11/2025","","4947","","3331110,0","","673,63"
"280060","BARRA DOS COQUEIROS","SE","05/2025","","5145","","3389310,0","","658,89"
"280067","BOQUIM","SE","07/2025","","4828","","3193305,0","","661,69"
"280067","BOQUIM","SE","11/2025","","4700","","3092598,0","","658,70"
"280067","BOQUIM","SE","09/2025","","4752","","3127572","","658,71"
"280067","BOQUIM","SE","05/2025","","4979","","3302988,0","","663,52"
"280067","BOQUIM","SE","08/2025","","4789","","3158939","","659,90"
"280067","BOQUIM","SE","04/2025","","4980","","3300579,0","","663,17"
"280067","BOQUIM","SE","06/2025","","4980","","3294195","","661,48"
"280067","BOQUIM","SE","02/2025","","4946","","3260349,0","","659,19"
"280067","BOQUIM","SE","12/2025","","4784","","3158005","","663,59"
"280067","BOQUIM","SE","03/2025","","4985","","3295455","","661,61"
"280067","BOQUIM","SE","01/2025","","4957","","3271149","","659,90"
"280067","BOQUIM","SE","10/2025","","4725","","3117164","","660,00"
"280070","BREJO GRANDE","SE","12/2025","","1376","","984801","","719,88"
"280070","BREJO GRANDE","SE","02/2025","","1526","","1073785,0","","703,66"
"280070","BREJO GRANDE","SE","03/2025","","1519","","1054177","","694,45"
"280070","BREJO GRANDE","SE","06/2025","","1515","","1050406","","693,34"
"280070","BREJO GRANDE","SE","04/2025","","1518","","1055976,0","","696,09"
"280070","BREJO GRANDE","SE","01/2025","","1529","","1070991","","700,45"
"280070","BREJO GRANDE","SE","08/2025","","1453","","1022635","","703,81"
"280070","BREJO GRANDE","SE","07/2025","","1475","","1038009,0","","703,73"
"280070","BREJO GRANDE","SE","10/2025","","1452","","1040874","","716,86"
"280070","BREJO GRANDE","SE","09/2025","","1452","","1039239","","715,73"
"280070","BREJO GRANDE","SE","05/2025","","1518","","1055151,0","","695,09"
"280070","BREJO GRANDE","SE","11/2025","","1421","","1010394,0","","711,04"
"280100","CAMPO DO BRITO","SE","09/2025","","2955","","2006265","","679,40"
"280100","CAMPO DO BRITO","SE","06/2025","","3057","","2035093","","665,72"
"280100","CAMPO DO BRITO","SE","04/2025","","3059","","2038624,0","","667,09"
"280100","CAMPO DO BRITO","SE","07/2025","","2954","","1981573,0","","670,81"
"280100","CAMPO DO BRITO","SE","11/2025","","2910","","1966290,0","","676,40"
"280100","CAMPO DO BRITO","SE","05/2025","","3057","","2039543,0","","667,17"
"280100","CAMPO DO BRITO","SE","01/2025","","3063","","2054121","","670,62"
"280100","CAMPO DO BRITO","SE","03/2025","","3066","","2041968","","666,66"
"280100","CAMPO DO BRITO","SE","12/2025","","2888","","1941829","","673,78"
"280100","CAMPO DO BRITO","SE","02/2025","","3066","","2053795,0","","669,86"
"280100","CAMPO DO BRITO","SE","08/2025","","2961","","1992236","","672,83"
"280100","CAMPO DO BRITO","SE","10/2025","","2937","","1994685","","679,39"
